index,delta_e_dft,strain,r,r_s,r_p,r_d,X_p,d_electrons,s_electrons,molar_volume,,,,
Ag_surface_minus_2_Co,-0.13290347,0.98,-0.13,-0.066147151,-0.121710758,-0.092606012,-0.05,-3,-1,-3.6,,,,
Ag_surface_minus_2_Ni,-0.01164684,0.98,-0.16,-0.044980063,-0.058209493,-0.10054367,-0.02,-2,-1,-3.68,,,,
Ag_surface_minus_2_Cu,0.10051214,0.98,-0.2,-0.08731424,-0.089960126,-0.105835442,-0.03,0,0,-3.16,,,,
Ag_surface_minus_2_Rh,-0.07694808,0.98,0.08,0.034396519,0.042334177,0.018521202,0.35,-2,0,-1.99,,,,
Ag_surface_minus_2_Pd,0.0882249,0.98,0.04,0.018521202,0.021167088,0.007937658,0.27,0,-10,-1.71,,,,
Ag_surface_minus_2_Ag,0.08116938,0.98,0,0,0,0,0,0,0,0,,,,
Ag_surface_minus_2_Ir,-0.2859444,0.98,0.15,0.060855379,0.073026455,0.074613987,0.27,-3,-1,-1.75,,,,
Ag_surface_minus_2_Pt,0.0346663,0.98,0.12,0.103189556,0.068793037,0.066147151,0.35,-1,0,-1.18,,,,
Ag_surface_minus_2_Au,0.02871162,0.98,0.09,0.08731424,0.063501265,0.054505253,0.61,0,0,-0.06,,,,
Ag_surface_minus_1_Co,-0.1815912,0.99,-0.13,-0.066147151,-0.121710758,-0.092606012,-0.05,-3,-1,-3.6,,,,
Ag_surface_minus_1_Ni,-0.04855613,0.99,-0.16,-0.044980063,-0.058209493,-0.10054367,-0.02,-2,-1,-3.68,,,,
Ag_surface_minus_1_Cu,0.0663636,0.99,-0.2,-0.08731424,-0.089960126,-0.105835442,-0.03,0,0,-3.16,,,,
Ag_surface_minus_1_Rh,-0.10204338,0.99,0.08,0.034396519,0.042334177,0.018521202,0.35,-2,0,-1.99,,,,
Ag_surface_minus_1_Pd,0.04529764,0.99,0.04,0.018521202,0.021167088,0.007937658,0.27,0,-10,-1.71,,,,
Ag_surface_minus_1_Ag,0.03895172,0.99,0,0,0,0,0,0,0,0,,,,
Ag_surface_minus_1_Ir,-0.32034209,0.99,0.15,0.060855379,0.073026455,0.074613987,0.27,-3,-1,-1.75,,,,
Ag_surface_minus_1_Pt,-0.00840584,0.99,0.12,0.103189556,0.068793037,0.066147151,0.35,-1,0,-1.18,,,,
Ag_surface_minus_1_Au,-0.02572027,0.99,0.09,0.08731424,0.063501265,0.054505253,0.61,0,0,-0.06,,,,
Ag_surface_zero_Co,-0.23175794,1,-0.13,-0.066147151,-0.121710758,-0.092606012,-0.05,-3,-1,-3.6,,,,
Ag_surface_zero_Ni,-0.08197281,1,-0.16,-0.044980063,-0.058209493,-0.10054367,-0.02,-2,-1,-3.68,,,,
