index,delta_e_dft,strain,r,r_s,r_p,r_d,X_p,d_electrons,s_electrons,molar_volume,,,,
Ag_surface_minus_2_Co,-0.04252007,0.98,-0.13,-0.066147151,-0.121710758,-0.092606012,-0.05,-3,-1,-3.6,,,,
Ag_surface_minus_2_Ni,-0.04357626,0.98,-0.16,-0.044980063,-0.058209493,-0.10054367,-0.02,-2,-1,-3.68,,,,
Ag_surface_minus_2_Cu,0.12451824,0.98,-0.2,-0.08731424,-0.089960126,-0.105835442,-0.03,0,0,-3.16,,,,
Ag_surface_minus_2_Rh,-0.21091775,0.98,0.08,0.034396519,0.042334177,0.018521202,0.35,-2,0,-1.99,,,,
Ag_surface_minus_2_Pd,-0.01841251,0.98,0.04,0.018521202,0.021167088,0.007937658,0.27,0,-10,-1.71,,,,
Ag_surface_minus_2_Ag,0.07677592,0.98,0,0,0,0,0,0,0,0,,,,
Ag_surface_minus_2_Ir,-0.45507522,0.98,0.15,0.060855379,0.073026455,0.074613987,0.27,-3,-1,-1.75,,,,
Ag_surface_minus_2_Pt,-0.14099881,0.98,0.12,0.103189556,0.068793037,0.066147151,0.35,-1,0,-1.18,,,,
Ag_surface_minus_2_Au,-0.02050235,0.98,0.09,0.08731424,0.063501265,0.054505253,0.61,0,0,-0.06,,,,
Ag_surface_minus_1_Co,-0.15711713,0.99,-0.13,-0.066147151,-0.121710758,-0.092606012,-0.05,-3,-1,-3.6,,,,
Ag_surface_minus_1_Ni,-0.07975147,0.99,-0.16,-0.044980063,-0.058209493,-0.10054367,-0.02,-2,-1,-3.68,,,,
Ag_surface_minus_1_Cu,0.09761908,0.99,-0.2,-0.08731424,-0.089960126,-0.105835442,-0.03,0,0,-3.16,,,,
Ag_surface_minus_1_Rh,-0.23865171,0.99,0.08,0.034396519,0.042334177,0.018521202,0.35,-2,0,-1.99,,,,
Ag_surface_minus_1_Pd,-0.0626816,0.99,0.04,0.018521202,0.021167088,0.007937658,0.27,0,-10,-1.71,,,,
Ag_surface_minus_1_Ag,0.03967036,0.99,0,0,0,0,0,0,0,0,,,,
Ag_surface_minus_1_Ir,-0.49374928,0.99,0.15,0.060855379,0.073026455,0.074613987,0.27,-3,-1,-1.75,,,,
Ag_surface_minus_1_Pt,-0.18643836,0.99,0.12,0.103189556,0.068793037,0.066147151,0.35,-1,0,-1.18,,,,
Ag_surface_minus_1_Au,-0.07539779,0.99,0.09,0.08731424,0.063501265,0.054505253,0.61,0,0,-0.06,,,,
Ag_surface_zero_Co,-0.20824188,1,-0.13,-0.066147151,-0.121710758,-0.092606012,-0.05,-3,-1,-3.6,,,,
Ag_surface_zero_Ni,-0.11684877,1,-0.16,-0.044980063,-0.058209493,-0.10054367,-0.02,-2,-1,-3.68,,,,
Ag_surface_zero_Cu,0.06393125,1,-0.2,-0.08731424,-0.089960126,-0.105835442,-0.03,0,0,-3.16,,,,
Ag_surface_zero_Rh,-0.26474099,1,0.08,0.034396519,0.042334177,0.018521202,0.35,-2,0,-1.99,,,,
Ag_surface_zero_Pd,-0.10704757,1,0.04,0.018521202,0.021167088,0.007937658,0.27,0,-10,-1.71,,,,
