index,delta_e_dft,strain,r,r_s,r_p,r_d,X_p,d_electrons,s_electrons,molar_volume
Au_surface_minus_2_Ni,-0.1333982,0.98,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_minus_2_Cu,0.02373178,0.98,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_minus_2_Rh,-0.24050206,0.98,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_minus_2_Pd,-0.00761654,0.98,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_minus_2_Ag,0.04392128,0.98,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_minus_2_Ir,-0.34641748,0.98,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_minus_2_Pt,-0.00675361,0.98,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_minus_2_Au,0.11170222,0.98,0,0,0,0,0,0,0,0
Au_surface_minus_1_Ni,-0.18319794,0.99,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_minus_1_Cu,-0.00953013,0.99,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_minus_1_Rh,-0.29565654,0.99,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_minus_1_Pd,-0.07311055,0.99,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_minus_1_Ag,0.02039777,0.99,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_minus_1_Ir,-0.41895787,0.99,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_minus_1_Pt,-0.08354327,0.99,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_minus_1_Au,0.05604352,0.99,0,0,0,0,0,0,0,0
Au_surface_zero_Ni,-0.23224802,1,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_zero_Cu,-0.04561791,1,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_zero_Rh,-0.35311381,1,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_zero_Pd,-0.13871854,1,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_zero_Ag,-0.00351106,1,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_zero_Ir,-0.49672,1,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_zero_Pt,-0.16076819,1,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_zero_Au,0,1,0,0,0,0,0,0,0,0
Au_surface_plus_1_Ni,-0.28385419,1.01,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_plus_1_Cu,-0.0855397,1.01,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_plus_1_Rh,-0.41041313,1.01,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_plus_1_Pd,-0.20654813,1.01,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_plus_1_Ag,-0.0323649,1.01,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_plus_1_Ir,-0.58131012,1.01,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_plus_1_Pt,-0.2399094,1.01,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_plus_1_Au,-0.05537238,1.01,0,0,0,0,0,0,0,0
Au_surface_plus_2_Ni,-0.3329363,1.02,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_plus_2_Cu,-0.12810126,1.02,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_plus_2_Rh,-0.46746566,1.02,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_plus_2_Pd,-0.27404762,1.02,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_plus_2_Ag,-0.06600621,1.02,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_plus_2_Ir,-0.67138215,1.02,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_plus_2_Pt,-0.32103339,1.02,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_plus_2_Au,-0.11353055,1.02,0,0,0,0,0,0,0,0
