index,delta_e_dft,strain,r,r_s,r_p,r_d,X_p,d_electrons,s_electrons,molar_volume
Au_surface_minus_2_Ni,0.00827215,0.98,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_minus_2_Cu,0.26287317,0.98,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_minus_2_Rh,-0.19443611,0.98,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_minus_2_Pd,0.14523472,0.98,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_minus_2_Ag,0.27727846,0.98,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_minus_2_Ir,-0.43055235,0.98,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_minus_2_Pt,0.07562388,0.98,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_minus_2_Au,0.21237287,0.98,0,0,0,0,0,0,0,0
Au_surface_minus_1_Ni,-0.06105203,0.99,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_minus_1_Cu,0.18604658,0.99,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_minus_1_Rh,-0.25181749,0.99,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_minus_1_Pd,0.05075522,0.99,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_minus_1_Ag,0.18902208,0.99,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_minus_1_Ir,-0.48558683,0.99,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_minus_1_Pt,-0.01733993,0.99,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_minus_1_Au,0.10482224,0.99,0,0,0,0,0,0,0,0
Au_surface_zero_Ni,-0.12986453,1,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_zero_Cu,0.10338294,1,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_zero_Rh,-0.3111644,1,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_zero_Pd,-0.04336482,1,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_zero_Ag,0.09755135,1,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_zero_Ir,-0.54436536,1,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_zero_Pt,-0.10916611,1,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_zero_Au,0,1,0,0,0,0,0,0,0,0
Au_surface_plus_1_Ni,-0.19901451,1.01,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_plus_1_Cu,0.0158941,1.01,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_plus_1_Rh,-0.36583437,1.01,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_plus_1_Pd,-0.13694955,1.01,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_plus_1_Ag,0.00258819,1.01,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_plus_1_Ir,-0.60256053,1.01,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_plus_1_Pt,-0.19652221,1.01,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_plus_1_Au,-0.09606815,1.01,0,0,0,0,0,0,0,0
Au_surface_plus_2_Ni,-0.26449671,1.02,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_plus_2_Cu,-0.07487443,1.02,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_plus_2_Rh,-0.41627194,1.02,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_plus_2_Pd,-0.22525098,1.02,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_plus_2_Ag,-0.09452294,1.02,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_plus_2_Ir,-0.66172867,1.02,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_plus_2_Pt,-0.27950743,1.02,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_plus_2_Au,-0.18696509,1.02,0,0,0,0,0,0,0,0
