index,delta_e_dft,strain,r,r_s,r_p,r_d,X_p,d_electrons,s_electrons,molar_volume
Au_surface_minus_2_Ni,-0.13835217,0.98,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_minus_2_Cu,0.0249383,0.98,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_minus_2_Rh,-0.15533236,0.98,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_minus_2_Pd,-0.02881037,0.98,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_minus_2_Ag,0.03874535,0.98,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_minus_2_Ir,-0.21844504,0.98,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_minus_2_Pt,-0.06261535,0.98,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_minus_2_Au,0.04842984,0.98,0,0,0,0,0,0,0,0
Au_surface_minus_1_Ni,-0.17415348,0.99,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_minus_1_Cu,0.00541714,0.99,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_minus_1_Rh,-0.18438282,0.99,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_minus_1_Pd,-0.06195225,0.99,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_minus_1_Ag,0.03701626,0.99,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_minus_1_Ir,-0.26071403,0.99,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_minus_1_Pt,-0.10411496,0.99,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_minus_1_Au,0.02458043,0.99,0,0,0,0,0,0,0,0
Au_surface_zero_Ni,-0.21290216,1,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_zero_Cu,-0.01915275,1,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_zero_Rh,-0.2188342,1,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_zero_Pd,-0.09479076,1,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_zero_Ag,0.03058377,1,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_zero_Ir,-0.31206956,1,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_zero_Pt,-0.14142322,1,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_zero_Au,0,1,0,0,0,0,0,0,0,0
Au_surface_plus_1_Ni,-0.25262254,1.01,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_plus_1_Cu,-0.0470269,1.01,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_plus_1_Rh,-0.25323279,1.01,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_plus_1_Pd,-0.12477799,1.01,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_plus_1_Ag,0.01958901,1.01,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_plus_1_Ir,-0.37045448,1.01,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_plus_1_Pt,-0.17864449,1.01,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_plus_1_Au,-0.02231606,1.01,0,0,0,0,0,0,0,0
Au_surface_plus_2_Ni,-0.28937585,1.02,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_plus_2_Cu,-0.07467784,1.02,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_plus_2_Rh,-0.28878078,1.02,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_plus_2_Pd,-0.15114352,1.02,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_plus_2_Ag,0.00444325,1.02,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_plus_2_Ir,-0.43911373,1.02,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_plus_2_Pt,-0.21562869,1.02,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_plus_2_Au,-0.04682167,1.02,0,0,0,0,0,0,0,0
