index,delta_e_dft,strain,r,r_s,r_p,r_d,X_p,d_electrons,s_electrons,molar_volume
Au_surface_minus_2_Ni,0.07842755,0.98,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_minus_2_Cu,0.39283178,0.98,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_minus_2_Rh,-0.26149021,0.98,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_minus_2_Pd,0.11314041,0.98,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_minus_2_Ag,0.36782697,0.98,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_minus_2_Ir,-0.54311537,0.98,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_minus_2_Pt,-0.03565843,0.98,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_minus_2_Au,0.21723046,0.98,0,0,0,0,0,0,0,0
Au_surface_minus_1_Ni,0.00374585,0.99,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_minus_1_Cu,0.31516347,0.99,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_minus_1_Rh,-0.33593741,0.99,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_minus_1_Pd,0.00587883,0.99,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_minus_1_Ag,0.27956813,0.99,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_minus_1_Ir,-0.61447011,0.99,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_minus_1_Pt,-0.1431231,0.99,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_minus_1_Au,0.10750628,0.99,0,0,0,0,0,0,0,0
Au_surface_zero_Ni,-0.07382599,1,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_zero_Cu,0.23656433,1,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_zero_Rh,-0.40863169,1,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_zero_Pd,-0.09814169,1,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_zero_Ag,0.19064373,1,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_zero_Ir,-0.68839491,1,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_zero_Pt,-0.24901277,1,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_zero_Au,0,1,0,0,0,0,0,0,0,0
Au_surface_plus_1_Ni,-0.14685125,1.01,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_plus_1_Cu,0.1520689,1.01,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_plus_1_Rh,-0.47719727,1.01,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_plus_1_Pd,-0.20040521,1.01,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_plus_1_Ag,0.09771323,1.01,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_plus_1_Ir,-0.76206878,1.01,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_plus_1_Pt,-0.35087061,1.01,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_plus_1_Au,-0.0997621,1.01,0,0,0,0,0,0,0,0
Au_surface_plus_2_Ni,-0.21255963,1.02,-0.25,-0.132294303,-0.121710758,-0.155048923,-0.63,-2,-1,-3.62
Au_surface_plus_2_Cu,0.06443936,1.02,-0.29,-0.17462848,-0.153461391,-0.160340695,-0.64,0,0,-3.1
Au_surface_plus_2_Rh,-0.54227897,1.02,-0.01,-0.052917721,-0.021167088,-0.03598405,-0.26,-2,0,-1.93
Au_surface_plus_2_Pd,-0.29913978,1.02,-0.05,-0.068793037,-0.042334177,-0.046567595,-0.34,0,-10,-1.65
Au_surface_plus_2_Ag,0.00340634,1.02,-0.09,-0.08731424,-0.063501265,-0.054505253,-0.61,0,0,0.06
Au_surface_plus_2_Ir,-0.83777184,1.02,0.06,-0.026458861,0.00952519,0.020108734,-0.34,-3,-1,-1.69
Au_surface_plus_2_Pt,-0.4498362,1.02,0.03,0.015875316,0.005291772,0.011641899,-0.26,-1,0,-1.12
Au_surface_plus_2_Au,-0.19736257,1.02,0,0,0,0,0,0,0,0
