index,delta_e_dft,strain,r,r_s,r_p,r_d,X_p,d_electrons,s_electrons,molar_volume,,,,
Ir_surface_minus_2_Ni,0.31533132,0.98,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_minus_2_Cu,0.42129791,0.98,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_minus_2_Rh,0.22160085,0.98,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_minus_2_Pd,0.16151787,0.98,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_minus_2_Ag,0.35003188,0.98,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_minus_2_Os,-0.09298427,0.98,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_minus_2_Ir,0.13857364,0.98,0,0,0,0,0,0,0,0,,,,
Ir_surface_minus_2_Pt,0.15038049,0.98,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_minus_2_Au,0.16439196,0.98,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
Ir_surface_minus_1_Ni,0.22330476,0.99,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_minus_1_Cu,0.27598103,0.99,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_minus_1_Rh,0.13716334,0.99,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_minus_1_Pd,0.06821468,0.99,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_minus_1_Ag,0.17099062,0.99,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_minus_1_Os,-0.13555371,0.99,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_minus_1_Ir,0.06952582,0.99,0,0,0,0,0,0,0,0,,,,
Ir_surface_minus_1_Pt,0.06140163,0.99,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_minus_1_Au,0.09454503,0.99,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
Ir_surface_zero_Ni,0.13763236,1,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_zero_Cu,0.13050059,1,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_zero_Rh,0.05510885,1,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_zero_Pd,-0.03054041,1,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_zero_Ag,-0.01074823,1,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_zero_Os,-0.17735583,1,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_zero_Ir,0,1,0,0,0,0,0,0,0,0,,,,
Ir_surface_zero_Pt,-0.02752139,1,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_zero_Au,-0.05684933,1,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
Ir_surface_plus_1_Ni,0.05575757,1.01,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_plus_1_Cu,-0.01494564,1.01,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_plus_1_Rh,-0.02516572,1.01,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_plus_1_Pd,-0.13106146,1.01,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_plus_1_Ag,-0.19460762,1.01,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_plus_1_Os,-0.21832122,1.01,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_plus_1_Ir,-0.06974284,1.01,0,0,0,0,0,0,0,0,,,,
Ir_surface_plus_1_Pt,-0.11494524,1.01,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_plus_1_Au,-0.21028318,1.01,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
Ir_surface_plus_2_Ni,-0.02011211,1.02,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_plus_2_Cu,-0.16026716,1.02,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_plus_2_Rh,-0.09879568,1.02,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_plus_2_Pd,-0.22881349,1.02,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_plus_2_Ag,-0.37776985,1.02,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_plus_2_Os,-0.25987127,1.02,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_plus_2_Ir,-0.13599205,1.02,0,0,0,0,0,0,0,0,,,,
Ir_surface_plus_2_Pt,-0.19324581,1.02,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_plus_2_Au,-0.36223257,1.02,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
