index,delta_e_dft,strain,r,r_s,r_p,r_d,X_p,d_electrons,s_electrons,molar_volume,,,,
Ir_surface_minus_2_Ni,0.0099248,0.98,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_minus_2_Cu,-0.2634617,0.98,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_minus_2_Rh,-0.00339312,0.98,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_minus_2_Pd,-0.38014497,0.98,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_minus_2_Ag,-0.43412528,0.98,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_minus_2_Os,0.24132832,0.98,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_minus_2_Ir,0.09567965,0.98,0,0,0,0,0,0,0,0,,,,
Ir_surface_minus_2_Pt,-0.34589993,0.98,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_minus_2_Au,-0.55791047,0.98,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
Ir_surface_minus_1_Ni,-0.06179195,0.99,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_minus_1_Cu,-0.37282638,0.99,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_minus_1_Rh,-0.07126664,0.99,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_minus_1_Pd,-0.43032585,0.99,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_minus_1_Ag,-0.55164772,0.99,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_minus_1_Os,0.22600071,0.99,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_minus_1_Ir,0.05044978,0.99,0,0,0,0,0,0,0,0,,,,
Ir_surface_minus_1_Pt,-0.38298906,0.99,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_minus_1_Au,-0.60899441,0.99,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
Ir_surface_zero_Ni,-0.13573969,1,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_zero_Cu,-0.47963614,1,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_zero_Rh,-0.14274515,1,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_zero_Pd,-0.48905246,1,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_zero_Ag,-0.6704092,1,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_zero_Os,0.20888574,1,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_zero_Ir,0,1,0,0,0,0,0,0,0,0,,,,
Ir_surface_zero_Pt,-0.41933075,1,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_zero_Au,-0.6953826,1,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
Ir_surface_plus_1_Ni,-0.21749986,1.01,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_plus_1_Cu,-0.58392053,1.01,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_plus_1_Rh,-0.22284814,1.01,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_plus_1_Pd,-0.55262609,1.01,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_plus_1_Ag,-0.78550678,1.01,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_plus_1_Os,0.19086218,1.01,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_plus_1_Ir,-0.05940784,1.01,0,0,0,0,0,0,0,0,,,,
Ir_surface_plus_1_Pt,-0.45925638,1.01,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_plus_1_Au,-0.78045207,1.01,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
Ir_surface_plus_2_Ni,-0.31237018,1.02,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_plus_2_Cu,-0.68718792,1.02,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_plus_2_Rh,-0.3134577,1.02,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_plus_2_Pd,-0.61915334,1.02,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_plus_2_Ag,-0.89939574,1.02,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_plus_2_Os,0.13482777,1.02,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_plus_2_Ir,-0.13523516,1.02,0,0,0,0,0,0,0,0,,,,
Ir_surface_plus_2_Pt,-0.50073088,1.02,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_plus_2_Au,-0.86512618,1.02,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
