index,delta_e_dft,strain,r,r_s,r_p,r_d,X_p,d_electrons,s_electrons,molar_volume,,,,
Ir_surface_minus_2_Ni,0.11546749,0.98,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_minus_2_Cu,0.04100974,0.98,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_minus_2_Rh,0.08080584,0.98,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_minus_2_Pd,-0.19936025,0.98,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_minus_2_Ag,-0.15448318,0.98,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_minus_2_Os,6.73E-05,0.98,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_minus_2_Ir,0.05352924,0.98,0,0,0,0,0,0,0,0,,,,
Ir_surface_minus_2_Pt,-0.17893683,0.98,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_minus_2_Au,-0.28265493,0.98,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
Ir_surface_minus_1_Ni,0.11904435,0.99,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_minus_1_Cu,0.04611072,0.99,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_minus_1_Rh,0.07231571,0.99,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_minus_1_Pd,-0.16548133,0.99,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_minus_1_Ag,-0.14738546,0.99,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_minus_1_Os,-0.02780434,0.99,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_minus_1_Ir,0.02914581,0.99,0,0,0,0,0,0,0,0,,,,
Ir_surface_minus_1_Pt,-0.13666491,0.99,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_minus_1_Au,-0.25806184,0.99,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
Ir_surface_zero_Ni,0.10820498,1,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_zero_Cu,0.03407107,1,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_zero_Rh,0.05127913,1,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_zero_Pd,-0.14380351,1,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_zero_Ag,-0.14877319,1,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_zero_Os,-0.06140675,1,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_zero_Ir,0,1,0,0,0,0,0,0,0,0,,,,
Ir_surface_zero_Pt,-0.1045606,1,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_zero_Au,-0.24475079,1,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
Ir_surface_plus_1_Ni,0.08989354,1.01,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_plus_1_Cu,0.0237088,1.01,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_plus_1_Rh,0.02392483,1.01,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_plus_1_Pd,-0.13014806,1.01,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_plus_1_Ag,-0.1547709,1.01,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_plus_1_Os,-0.09187216,1.01,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_plus_1_Ir,-0.03138812,1.01,0,0,0,0,0,0,0,0,,,,
Ir_surface_plus_1_Pt,-0.09963557,1.01,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_plus_1_Au,-0.23845722,1.01,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
Ir_surface_plus_2_Ni,0.06818739,1.02,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_plus_2_Cu,0.00120522,1.02,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_plus_2_Rh,-0.00426371,1.02,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_plus_2_Pd,-0.12455098,1.02,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_plus_2_Ag,-0.17789916,1.02,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_plus_2_Os,-0.12478779,1.02,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_plus_2_Ir,-0.06417519,1.02,0,0,0,0,0,0,0,0,,,,
Ir_surface_plus_2_Pt,-0.10341181,1.02,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_plus_2_Au,-0.23488879,1.02,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
