index,delta_e_dft,strain,r,r_s,r_p,r_d,X_p,d_electrons,s_electrons,molar_volume,,,,
Ir_surface_minus_2_Ni,0.24403332,0.98,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_minus_2_Cu,0.04047719,0.98,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_minus_2_Rh,0.12913105,0.98,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_minus_2_Pd,-0.31449435,0.98,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_minus_2_Ag,-0.21981006,0.98,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_minus_2_Os,0.22762854,0.98,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_minus_2_Ir,0.14962711,0.98,0,0,0,0,0,0,0,0,,,,
Ir_surface_minus_2_Pt,-0.31237849,0.98,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_minus_2_Au,-0.45041892,0.98,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
Ir_surface_minus_1_Ni,0.14485165,0.99,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_minus_1_Cu,-0.11324662,0.99,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_minus_1_Rh,0.03305277,0.99,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_minus_1_Pd,-0.40060786,0.99,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_minus_1_Ag,-0.38315973,0.99,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_minus_1_Os,0.17957488,0.99,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_minus_1_Ir,0.07260738,0.99,0,0,0,0,0,0,0,0,,,,
Ir_surface_minus_1_Pt,-0.38363637,0.99,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_minus_1_Au,-0.55845015,0.99,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
Ir_surface_zero_Ni,0.05301157,1,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_zero_Cu,-0.26084152,1,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_zero_Rh,-0.05602925,1,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_zero_Pd,-0.48956107,1,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_zero_Ag,-0.54487555,1,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_zero_Os,0.13302574,1,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_zero_Ir,0,1,0,0,0,0,0,0,0,0,,,,
Ir_surface_zero_Pt,-0.44974999,1,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_zero_Au,-0.68280863,1,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
Ir_surface_plus_1_Ni,-0.03531021,1.01,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_plus_1_Cu,-0.40094332,1.01,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_plus_1_Rh,-0.14024803,1.01,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_plus_1_Pd,-0.57561548,1.01,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_plus_1_Ag,-0.70557757,1.01,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_plus_1_Os,0.08721722,1.01,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_plus_1_Ir,-0.06821308,1.01,0,0,0,0,0,0,0,0,,,,
Ir_surface_plus_1_Pt,-0.51180729,1.01,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_plus_1_Au,-0.80466195,1.01,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
Ir_surface_plus_2_Ni,-0.11725572,1.02,-0.31,-0.105835442,-0.131235948,-0.175157657,-0.29,1,0,-1.93,,,,
Ir_surface_plus_2_Cu,-0.53526057,1.02,-0.35,-0.148169619,-0.162986581,-0.180449429,-0.3,3,1,-1.41,,,,
Ir_surface_plus_2_Rh,-0.21702536,1.02,-0.07,-0.026458861,-0.030692278,-0.056092784,0.08,1,1,-0.24,,,,
Ir_surface_plus_2_Pd,-0.65481539,1.02,-0.11,-0.042334177,-0.051859367,-0.066676329,0,3,-10,0.04,,,,
Ir_surface_plus_2_Ag,-0.86032353,1.02,-0.15,-0.060855379,-0.073026455,-0.074613987,-0.27,3,1,1.75,,,,
Ir_surface_plus_2_Os,0.03988064,1.02,0.05,0.005291772,0.006350127,0.008996013,0,-1,0,-0.1,,,,
Ir_surface_plus_2_Ir,-0.13079888,1.02,0,0,0,0,0,0,0,0,,,,
Ir_surface_plus_2_Pt,-0.56634886,1.02,-0.03,0.042334177,-0.004233418,-0.008466835,0.08,2,1,0.57,,,,
Ir_surface_plus_2_Au,-0.92187844,1.02,-0.06,0.026458861,-0.00952519,-0.020108734,0.34,3,1,1.69,,,,
