index,delta_e_dft,strain,r,r_s,r_p,r_d,X_p,d_electrons,s_electrons,molar_volume
Pt_surface_minus_2_Fe,0.3918062899999768,0.98,-0.20999999999999996,-0.15346139109465093,-0.15875316320136304,-0.15346139109465093,-0.44999999999999973,-3,1,-2.0
Pt_surface_minus_2_Co,0.340681840000002,0.98,-0.25,-0.16933670741478718,-0.19050379584163554,-0.15875316320136304,-0.3999999999999999,-2,1,-2.42
Pt_surface_minus_2_Ni,0.32180128999999624,0.98,-0.28,-0.14816961898793882,-0.1270025305610904,-0.16669082136143115,-0.3699999999999999,-1,1,-2.5
Pt_surface_minus_2_Cu,0.4214736599999753,0.98,-0.32000000000000006,-0.1905037958416356,-0.15875316320136304,-0.17198259346814326,-0.3799999999999999,1,0,-1.9799999999999995
Pt_surface_minus_2_Mo,-0.11062031000000161,0.98,0.1299999999999999,-0.010583544213424211,0.021167088426848422,-0.010583544213424211,-0.11999999999999966,-4,0,0.2900000000000009
Pt_surface_minus_2_Ru,0.026042619999941508,0.98,0.010000000000000009,-0.05027183501376494,0.0,-0.0317506326402726,-0.07999999999999963,-2,0,-0.9199999999999999
Pt_surface_minus_2_Rh,0.1253570999999738,0.98,-0.040000000000000036,-0.06879303738725726,-0.026458860533560526,-0.04762594896040891,0.0,-1,0,-0.8100000000000005
Pt_surface_minus_2_Pd,0.1292921400000182,0.98,-0.08000000000000007,-0.08466835370739356,-0.04762594896040883,-0.058209493173833095,-0.07999999999999963,1,-1,-0.5299999999999994
Pt_surface_minus_2_Ag,0.46293985999997744,0.98,-0.1200000000000001,-0.103189556080886,-0.06879303738725726,-0.06614715133390126,-0.34999999999999987,1,0,1.1799999999999997
Pt_surface_minus_2_W,-0.18678502000000208,0.98,0.15999999999999992,0.0052917721067121054,0.02910474658691652,0.04233417685369678,0.08000000000000007,-5,1,0.3800000000000008
Pt_surface_minus_2_Re,-0.1834394100000054,0.98,0.10999999999999988,-0.026458860533560526,0.015875316320136314,0.02910474658691652,-0.3799999999999999,-4,1,-0.23000000000000043
Pt_surface_minus_2_Os,-0.0915928600000484,0.98,0.08000000000000007,-0.03704240474698474,0.010583544213424211,0.017462847952149946,-0.07999999999999963,-3,1,-0.6699999999999999
Pt_surface_minus_2_Ir,0.0335651600000233,0.98,0.030000000000000027,-0.042334176853696844,0.004233417685369684,0.008466835370739369,-0.07999999999999963,-2,1,-0.5700000000000003
Pt_surface_minus_2_Pt,0.06078976999998531,0.98,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Pt_surface_minus_2_Au,0.24889601999996103,0.98,-0.030000000000000027,-0.015875316320136314,-0.0052917721067121054,-0.011641898634766631,0.26000000000000023,1,0,1.120000000000001
Pt_surface_minus_1_Fe,0.36174629999999297,0.99,-0.20999999999999996,-0.15346139109465093,-0.15875316320136304,-0.15346139109465093,-0.44999999999999973,-3,1,-2.0
Pt_surface_minus_1_Co,0.30681294999993725,0.99,-0.25,-0.16933670741478718,-0.19050379584163554,-0.15875316320136304,-0.3999999999999999,-2,1,-2.42
Pt_surface_minus_1_Ni,0.2935121599999775,0.99,-0.28,-0.14816961898793882,-0.1270025305610904,-0.16669082136143115,-0.3699999999999999,-1,1,-2.5
Pt_surface_minus_1_Cu,0.38863885999998615,0.99,-0.32000000000000006,-0.1905037958416356,-0.15875316320136304,-0.17198259346814326,-0.3799999999999999,1,0,-1.9799999999999995
Pt_surface_minus_1_Mo,-0.12186274999999114,0.99,0.1299999999999999,-0.010583544213424211,0.021167088426848422,-0.010583544213424211,-0.11999999999999966,-4,0,0.2900000000000009
Pt_surface_minus_1_Ru,-0.0006303300000354284,0.99,0.010000000000000009,-0.05027183501376494,0.0,-0.0317506326402726,-0.07999999999999963,-2,0,-0.9199999999999999
Pt_surface_minus_1_Rh,0.0961503600000242,0.99,-0.040000000000000036,-0.06879303738725726,-0.026458860533560526,-0.04762594896040891,0.0,-1,0,-0.8100000000000005
Pt_surface_minus_1_Pd,0.10801194999999097,0.99,-0.08000000000000007,-0.08466835370739356,-0.04762594896040883,-0.058209493173833095,-0.07999999999999963,1,-1,-0.5299999999999994
Pt_surface_minus_1_Ag,0.4235941699999728,0.99,-0.1200000000000001,-0.103189556080886,-0.06879303738725726,-0.06614715133390126,-0.34999999999999987,1,0,1.1799999999999997
