index,delta_e_dft,strain,r,r_s,r_p,r_d,X_p,d_electrons,s_electrons,molar_volume
Pd_surface_minus_2_Fe,0.21278288,0.98,-0.13,-0.068793037,-0.111127214,-0.095251898,-0.37,-4,10,-1.47
Pd_surface_minus_2_Co,0.16406733,0.98,-0.17,-0.084668354,-0.142877847,-0.10054367,-0.32,-3,10,-1.89
Pd_surface_minus_2_Ni,0.19728217,0.98,-0.2,-0.063501265,-0.079376582,-0.108481328,-0.29,-2,10,-1.97
Pd_surface_minus_2_Cu,0.31296293,0.98,-0.24,-0.105835442,-0.111127214,-0.1137731,-0.3,0,10,-1.45
Pd_surface_minus_2_Ru,-0.05219507,0.98,0.09,0.034396519,0.047625949,0.026458861,0,-3,10,-0.39
Pd_surface_minus_2_Rh,0.04706116,0.98,0.04,0.015875316,0.021167088,0.010583544,0.08,-2,10,-0.28
Pd_surface_minus_2_Pd,0.13407133,0.98,0,0,0,0,0,0,0,0
Pd_surface_minus_2_Ag,0.33511402,0.98,-0.04,-0.018521202,-0.021167088,-0.007937658,-0.27,0,10,1.71
Pd_surface_minus_2_Os,-0.22160632,0.98,0.16,0.047625949,0.058209493,0.075672341,0,-4,10,-0.14
Pd_surface_minus_2_Ir,-0.10974207,0.98,0.11,0.042334177,0.051859367,0.066676329,0,-3,10,-0.04
Pd_surface_minus_2_Pt,0.06252089,0.98,0.08,0.084668354,0.047625949,0.058209493,0.08,-1,10,0.53
Pd_surface_minus_2_Au,0.19242217,0.98,0.05,0.068793037,0.042334177,0.046567595,0.34,0,10,1.65
Pd_surface_minus_1_Fe,0.17346513,0.99,-0.13,-0.068793037,-0.111127214,-0.095251898,-0.37,-4,10,-1.47
Pd_surface_minus_1_Co,0.12857202,0.99,-0.17,-0.084668354,-0.142877847,-0.10054367,-0.32,-3,10,-1.89
Pd_surface_minus_1_Ni,0.15304929,0.99,-0.2,-0.063501265,-0.079376582,-0.108481328,-0.29,-2,10,-1.97
Pd_surface_minus_1_Cu,0.24900454,0.99,-0.24,-0.105835442,-0.111127214,-0.1137731,-0.3,0,10,-1.45
Pd_surface_minus_1_Ru,-0.08752094,0.99,0.09,0.034396519,0.047625949,0.026458861,0,-3,10,-0.39
Pd_surface_minus_1_Rh,-0.00939322,0.99,0.04,0.015875316,0.021167088,0.010583544,0.08,-2,10,-0.28
Pd_surface_minus_1_Pd,0.06680315,0.99,0,0,0,0,0,0,0,0
Pd_surface_minus_1_Ag,0.26969545,0.99,-0.04,-0.018521202,-0.021167088,-0.007937658,-0.27,0,10,1.71
Pd_surface_minus_1_Os,-0.25487675,0.99,0.16,0.047625949,0.058209493,0.075672341,0,-4,10,-0.14
Pd_surface_minus_1_Ir,-0.15504101,0.99,0.11,0.042334177,0.051859367,0.066676329,0,-3,10,-0.04
