index,delta_e_dft,strain,r,r_s,r_p,r_d,X_p,d_electrons,s_electrons,molar_volume
Pd_surface_minus_2_Fe,0.81865286,0.98,-0.13,-0.068793037,-0.111127214,-0.095251898,-0.37,-4,10,-1.47
Pd_surface_minus_2_Co,0.67730785,0.98,-0.17,-0.084668354,-0.142877847,-0.10054367,-0.32,-3,10,-1.89
Pd_surface_minus_2_Ni,0.47187281,0.98,-0.2,-0.063501265,-0.079376582,-0.108481328,-0.29,-2,10,-1.97
Pd_surface_minus_2_Cu,0.39669045,0.98,-0.24,-0.105835442,-0.111127214,-0.1137731,-0.3,0,10,-1.45
Pd_surface_minus_2_Ru,0.35361962,0.98,0.09,0.034396519,0.047625949,0.026458861,0,-3,10,-0.39
Pd_surface_minus_2_Rh,0.21581075,0.98,0.04,0.015875316,0.021167088,0.010583544,0.08,-2,10,-0.28
Pd_surface_minus_2_Pd,0.12445301,0.98,0,0,0,0,0,0,0,0
Pd_surface_minus_2_Ag,0.3109688,0.98,-0.04,-0.018521202,-0.021167088,-0.007937658,-0.27,0,10,1.71
Pd_surface_minus_2_Os,0.27452159,0.98,0.16,0.047625949,0.058209493,0.075672341,0,-4,10,-0.14
Pd_surface_minus_2_Ir,0.1786718,0.98,0.11,0.042334177,0.051859367,0.066676329,0,-3,10,-0.04
Pd_surface_minus_2_Pt,0.10368894,0.98,0.08,0.084668354,0.047625949,0.058209493,0.08,-1,10,0.53
Pd_surface_minus_2_Au,0.20732535,0.98,0.05,0.068793037,0.042334177,0.046567595,0.34,0,10,1.65
Pd_surface_minus_1_Fe,0.79625998,0.99,-0.13,-0.068793037,-0.111127214,-0.095251898,-0.37,-4,10,-1.47
Pd_surface_minus_1_Co,0.64514346,0.99,-0.17,-0.084668354,-0.142877847,-0.10054367,-0.32,-3,10,-1.89
Pd_surface_minus_1_Ni,0.43497737,0.99,-0.2,-0.063501265,-0.079376582,-0.108481328,-0.29,-2,10,-1.97
Pd_surface_minus_1_Cu,0.32591089,0.99,-0.24,-0.105835442,-0.111127214,-0.1137731,-0.3,0,10,-1.45
Pd_surface_minus_1_Ru,0.31834219,0.99,0.09,0.034396519,0.047625949,0.026458861,0,-3,10,-0.39
Pd_surface_minus_1_Rh,0.16767865,0.99,0.04,0.015875316,0.021167088,0.010583544,0.08,-2,10,-0.28
Pd_surface_minus_1_Pd,0.06178389,0.99,0,0,0,0,0,0,0,0
Pd_surface_minus_1_Ag,0.22431707,0.99,-0.04,-0.018521202,-0.021167088,-0.007937658,-0.27,0,10,1.71
Pd_surface_minus_1_Os,0.25416812,0.99,0.16,0.047625949,0.058209493,0.075672341,0,-4,10,-0.14
Pd_surface_minus_1_Ir,0.13297729,0.99,0.11,0.042334177,0.051859367,0.066676329,0,-3,10,-0.04
Pd_surface_minus_1_Pt,0.04470856,0.99,0.08,0.084668354,0.047625949,0.058209493,0.08,-1,10,0.53
Pd_surface_minus_1_Au,0.14235028,0.99,0.05,0.068793037,0.042334177,0.046567595,0.34,0,10,1.65
Pd_surface_zero_Fe,0.77588313,1,-0.13,-0.068793037,-0.111127214,-0.095251898,-0.37,-4,10,-1.47
Pd_surface_zero_Co,0.61365809,1,-0.17,-0.084668354,-0.142877847,-0.10054367,-0.32,-3,10,-1.89
Pd_surface_zero_Ni,0.39555663,1,-0.2,-0.063501265,-0.079376582,-0.108481328,-0.29,-2,10,-1.97
Pd_surface_zero_Cu,0.25538327,1,-0.24,-0.105835442,-0.111127214,-0.1137731,-0.3,0,10,-1.45
Pd_surface_zero_Ru,0.28843867,1,0.09,0.034396519,0.047625949,0.026458861,0,-3,10,-0.39
Pd_surface_zero_Rh,0.11944561,1,0.04,0.015875316,0.021167088,0.010583544,0.08,-2,10,-0.28
Pd_surface_zero_Pd,0,1,0,0,0,0,0,0,0,0
Pd_surface_zero_Ag,0.13986052,1,-0.04,-0.018521202,-0.021167088,-0.007937658,-0.27,0,10,1.71
Pd_surface_zero_Os,0.2321566,1,0.16,0.047625949,0.058209493,0.075672341,0,-4,10,-0.14
Pd_surface_zero_Ir,0.09856916,1,0.11,0.042334177,0.051859367,0.066676329,0,-3,10,-0.04
Pd_surface_zero_Pt,-0.01006453,1,0.08,0.084668354,0.047625949,0.058209493,0.08,-1,10,0.53
Pd_surface_zero_Au,0.07955224,1,0.05,0.068793037,0.042334177,0.046567595,0.34,0,10,1.65
Pd_surface_plus_1_Fe,0.75878213,1.01,-0.13,-0.068793037,-0.111127214,-0.095251898,-0.37,-4,10,-1.47
Pd_surface_plus_1_Co,0.57004977,1.01,-0.17,-0.084668354,-0.142877847,-0.10054367,-0.32,-3,10,-1.89
Pd_surface_plus_1_Ni,0.3650645,1.01,-0.2,-0.063501265,-0.079376582,-0.108481328,-0.29,-2,10,-1.97
Pd_surface_plus_1_Cu,0.19029222,1.01,-0.24,-0.105835442,-0.111127214,-0.1137731,-0.3,0,10,-1.45
Pd_surface_plus_1_Ru,0.25561231,1.01,0.09,0.034396519,0.047625949,0.026458861,0,-3,10,-0.39
Pd_surface_plus_1_Rh,0.07393311,1.01,0.04,0.015875316,0.021167088,0.010583544,0.08,-2,10,-0.28
Pd_surface_plus_1_Pd,-0.0597129,1.01,0,0,0,0,0,0,0,0
Pd_surface_plus_1_Ag,0.05921333,1.01,-0.04,-0.018521202,-0.021167088,-0.007937658,-0.27,0,10,1.71
Pd_surface_plus_1_Os,0.21098511,1.01,0.16,0.047625949,0.058209493,0.075672341,0,-4,10,-0.14
Pd_surface_plus_1_Ir,0.06137456,1.01,0.11,0.042334177,0.051859367,0.066676329,0,-3,10,-0.04
Pd_surface_plus_1_Pt,-0.05815372,1.01,0.08,0.084668354,0.047625949,0.058209493,0.08,-1,10,0.53
Pd_surface_plus_1_Au,0.01923353,1.01,0.05,0.068793037,0.042334177,0.046567595,0.34,0,10,1.65
Pd_surface_plus_2_Fe,0.74273826,1.02,-0.13,-0.068793037,-0.111127214,-0.095251898,-0.37,-4,10,-1.47
Pd_surface_plus_2_Co,0.50746907,1.02,-0.17,-0.084668354,-0.142877847,-0.10054367,-0.32,-3,10,-1.89
Pd_surface_plus_2_Ni,0.33738017,1.02,-0.2,-0.063501265,-0.079376582,-0.108481328,-0.29,-2,10,-1.97
Pd_surface_plus_2_Cu,0.12901402,1.02,-0.24,-0.105835442,-0.111127214,-0.1137731,-0.3,0,10,-1.45
Pd_surface_plus_2_Ru,0.21434725,1.02,0.09,0.034396519,0.047625949,0.026458861,0,-3,10,-0.39
Pd_surface_plus_2_Rh,0.04016168,1.02,0.04,0.015875316,0.021167088,0.010583544,0.08,-2,10,-0.28
Pd_surface_plus_2_Pd,-0.10809422,1.02,0,0,0,0,0,0,0,0
Pd_surface_plus_2_Ag,-0.01269998,1.02,-0.04,-0.018521202,-0.021167088,-0.007937658,-0.27,0,10,1.71
Pd_surface_plus_2_Os,0.18179791,1.02,0.16,0.047625949,0.058209493,0.075672341,0,-4,10,-0.14
Pd_surface_plus_2_Ir,0.02566257,1.02,0.11,0.042334177,0.051859367,0.066676329,0,-3,10,-0.04
Pd_surface_plus_2_Pt,-0.10514151,1.02,0.08,0.084668354,0.047625949,0.058209493,0.08,-1,10,0.53
Pd_surface_plus_2_Au,-0.03557498,1.02,0.05,0.068793037,0.042334177,0.046567595,0.34,0,10,1.65
