index,delta_e_dft,strain,r,r_s,r_p,r_d,X_p,d_electrons,s_electrons,molar_volume
Pd_surface_minus_2_Fe,1.00749896,0.98,-0.13,-0.068793037,-0.111127214,-0.095251898,-0.37,-4,10,-1.47
Pd_surface_minus_2_Co,0.85773118,0.98,-0.17,-0.084668354,-0.142877847,-0.10054367,-0.32,-3,10,-1.89
Pd_surface_minus_2_Ni,0.64945309,0.98,-0.2,-0.063501265,-0.079376582,-0.108481328,-0.29,-2,10,-1.97
Pd_surface_minus_2_Cu,0.64033728,0.98,-0.24,-0.105835442,-0.111127214,-0.1137731,-0.3,0,10,-1.45
Pd_surface_minus_2_Ru,0.48939262,0.98,0.09,0.034396519,0.047625949,0.026458861,0,-3,10,-0.39
Pd_surface_minus_2_Rh,0.29333056,0.98,0.04,0.015875316,0.021167088,0.010583544,0.08,-2,10,-0.28
Pd_surface_minus_2_Pd,0.17071234,0.98,0,0,0,0,0,0,0,0
Pd_surface_minus_2_Ag,0.57637582,0.98,-0.04,-0.018521202,-0.021167088,-0.007937658,-0.27,0,10,1.71
Pd_surface_minus_2_Os,0.41305058,0.98,0.16,0.047625949,0.058209493,0.075672341,0,-4,10,-0.14
Pd_surface_minus_2_Ir,0.28413646,0.98,0.11,0.042334177,0.051859367,0.066676329,0,-3,10,-0.04
Pd_surface_minus_2_Pt,0.12668563,0.98,0.08,0.084668354,0.047625949,0.058209493,0.08,-1,10,0.53
Pd_surface_minus_2_Au,0.39445804,0.98,0.05,0.068793037,0.042334177,0.046567595,0.34,0,10,1.65
Pd_surface_minus_1_Fe,0.95930598,0.99,-0.13,-0.068793037,-0.111127214,-0.095251898,-0.37,-4,10,-1.47
Pd_surface_minus_1_Co,0.80273057,0.99,-0.17,-0.084668354,-0.142877847,-0.10054367,-0.32,-3,10,-1.89
Pd_surface_minus_1_Ni,0.60353722,0.99,-0.2,-0.063501265,-0.079376582,-0.108481328,-0.29,-2,10,-1.97
Pd_surface_minus_1_Cu,0.54823083,0.99,-0.24,-0.105835442,-0.111127214,-0.1137731,-0.3,0,10,-1.45
Pd_surface_minus_1_Ru,0.45864947,0.99,0.09,0.034396519,0.047625949,0.026458861,0,-3,10,-0.39
Pd_surface_minus_1_Rh,0.23249886,0.99,0.04,0.015875316,0.021167088,0.010583544,0.08,-2,10,-0.28
Pd_surface_minus_1_Pd,0.08081763,0.99,0,0,0,0,0,0,0,0
Pd_surface_minus_1_Ag,0.47640822,0.99,-0.04,-0.018521202,-0.021167088,-0.007937658,-0.27,0,10,1.71
Pd_surface_minus_1_Os,0.3849728,0.99,0.16,0.047625949,0.058209493,0.075672341,0,-4,10,-0.14
Pd_surface_minus_1_Ir,0.22994007,0.99,0.11,0.042334177,0.051859367,0.066676329,0,-3,10,-0.04
Pd_surface_minus_1_Pt,0.03723964,0.99,0.08,0.084668354,0.047625949,0.058209493,0.08,-1,10,0.53
Pd_surface_minus_1_Au,0.30307826,0.99,0.05,0.068793037,0.042334177,0.046567595,0.34,0,10,1.65
Pd_surface_zero_Fe,0.9115696,1,-0.13,-0.068793037,-0.111127214,-0.095251898,-0.37,-4,10,-1.47
Pd_surface_zero_Co,0.73920389,1,-0.17,-0.084668354,-0.142877847,-0.10054367,-0.32,-3,10,-1.89
Pd_surface_zero_Ni,0.56266693,1,-0.2,-0.063501265,-0.079376582,-0.108481328,-0.29,-2,10,-1.97
Pd_surface_zero_Cu,0.4636483,1,-0.24,-0.105835442,-0.111127214,-0.1137731,-0.3,0,10,-1.45
Pd_surface_zero_Ru,0.43325931,1,0.09,0.034396519,0.047625949,0.026458861,0,-3,10,-0.39
Pd_surface_zero_Rh,0.18386997,1,0.04,0.015875316,0.021167088,0.010583544,0.08,-2,10,-0.28
Pd_surface_zero_Pd,0,1,0,0,0,0,0,0,0,0
Pd_surface_zero_Ag,0.37754899,1,-0.04,-0.018521202,-0.021167088,-0.007937658,-0.27,0,10,1.71
Pd_surface_zero_Os,0.36807649,1,0.16,0.047625949,0.058209493,0.075672341,0,-4,10,-0.14
Pd_surface_zero_Ir,0.18915022,1,0.11,0.042334177,0.051859367,0.066676329,0,-3,10,-0.04
Pd_surface_zero_Pt,-0.04022703,1,0.08,0.084668354,0.047625949,0.058209493,0.08,-1,10,0.53
Pd_surface_zero_Au,0.21489797,1,0.05,0.068793037,0.042334177,0.046567595,0.34,0,10,1.65
Pd_surface_plus_1_Fe,0.86427952,1.01,-0.13,-0.068793037,-0.111127214,-0.095251898,-0.37,-4,10,-1.47
Pd_surface_plus_1_Co,0.66927143,1.01,-0.17,-0.084668354,-0.142877847,-0.10054367,-0.32,-3,10,-1.89
Pd_surface_plus_1_Ni,0.5241765,1.01,-0.2,-0.063501265,-0.079376582,-0.108481328,-0.29,-2,10,-1.97
Pd_surface_plus_1_Cu,0.38342781,1.01,-0.24,-0.105835442,-0.111127214,-0.1137731,-0.3,0,10,-1.45
Pd_surface_plus_1_Ru,0.40838455,1.01,0.09,0.034396519,0.047625949,0.026458861,0,-3,10,-0.39
Pd_surface_plus_1_Rh,0.14084551,1.01,0.04,0.015875316,0.021167088,0.010583544,0.08,-2,10,-0.28
Pd_surface_plus_1_Pd,-0.07315804,1.01,0,0,0,0,0,0,0,0
Pd_surface_plus_1_Ag,0.28129233,1.01,-0.04,-0.018521202,-0.021167088,-0.007937658,-0.27,0,10,1.71
Pd_surface_plus_1_Os,0.35184927,1.01,0.16,0.047625949,0.058209493,0.075672341,0,-4,10,-0.14
Pd_surface_plus_1_Ir,0.15589258,1.01,0.11,0.042334177,0.051859367,0.066676329,0,-3,10,-0.04
Pd_surface_plus_1_Pt,-0.10756185,1.01,0.08,0.084668354,0.047625949,0.058209493,0.08,-1,10,0.53
Pd_surface_plus_1_Au,0.12619725,1.01,0.05,0.068793037,0.042334177,0.046567595,0.34,0,10,1.65
Pd_surface_plus_2_Fe,0.81670964,1.02,-0.13,-0.068793037,-0.111127214,-0.095251898,-0.37,-4,10,-1.47
