index,delta_e_dft,strain,r,r_s,r_p,r_d,X_p,d_electrons,s_electrons,molar_volume
Rh_surface_minus_2_Fe,0.26521402,0.98,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19
Rh_surface_minus_2_Co,0.2907435,0.98,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61
Rh_surface_minus_2_Ni,0.28191327,0.98,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69
Rh_surface_minus_2_Cu,0.22141825,0.98,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17
Rh_surface_minus_2_Ru,0.05082789,0.98,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11
Rh_surface_minus_2_Rh,0.10722667,0.98,0,0,0,0,0,0,0,0
Rh_surface_minus_2_Pd,0.03776804,0.98,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28
Rh_surface_minus_2_Ag,0.16284704,0.98,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99
Rh_surface_minus_2_Ir,0.02931785,0.98,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24
Rh_surface_minus_2_Pt,0.00582915,0.98,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81
Rh_surface_minus_2_Au,-0.03278014,0.98,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93
Rh_surface_minus_1_Fe,0.21897873,0.99,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19
Rh_surface_minus_1_Co,0.24728326,0.99,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61
Rh_surface_minus_1_Ni,0.21523153,0.99,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69
Rh_surface_minus_1_Cu,0.11797505,0.99,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17
Rh_surface_minus_1_Ru,0.02140308,0.99,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11
Rh_surface_minus_1_Rh,0.05274709,0.99,0,0,0,0,0,0,0,0
Rh_surface_minus_1_Pd,-0.03273901,0.99,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28
Rh_surface_minus_1_Ag,0.04248735,0.99,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99
Rh_surface_minus_1_Ir,-0.01844943,0.99,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24
Rh_surface_minus_1_Pt,-0.05487089,0.99,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81
Rh_surface_minus_1_Au,-0.07330459,0.99,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93
Rh_surface_zero_Fe,0.18114585,1,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19
Rh_surface_zero_Co,0.2057048,1,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61
Rh_surface_zero_Ni,0.15250177,1,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69
Rh_surface_zero_Cu,0.01718058,1,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17
Rh_surface_zero_Ru,-0.00644575,1,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11
Rh_surface_zero_Rh,0,1,0,0,0,0,0,0,0,0
Rh_surface_zero_Pd,-0.09552577,1,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28
Rh_surface_zero_Ag,-0.08038062,1,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99
Rh_surface_zero_Ir,-0.06241844,1,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24
Rh_surface_zero_Pt,-0.10860079,1,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81
Rh_surface_zero_Au,-0.16543247,1,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93
Rh_surface_plus_1_Fe,0.14984752,1.01,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19
Rh_surface_plus_1_Co,0.16818786,1.01,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61
Rh_surface_plus_1_Ni,0.10044982,1.01,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69
Rh_surface_plus_1_Cu,-0.07577502,1.01,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17
Rh_surface_plus_1_Ru,-0.03402276,1.01,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11
Rh_surface_plus_1_Rh,-0.04554923,1.01,0,0,0,0,0,0,0,0
Rh_surface_plus_1_Pd,-0.15714404,1.01,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28
Rh_surface_plus_1_Ag,-0.19608613,1.01,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99
Rh_surface_plus_1_Ir,-0.10501502,1.01,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24
Rh_surface_plus_1_Pt,-0.15986328,1.01,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81
Rh_surface_plus_1_Au,-0.25879972,1.01,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93
Rh_surface_plus_2_Fe,0.12868861,1.02,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19
Rh_surface_plus_2_Co,0.12177681,1.02,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61
Rh_surface_plus_2_Ni,0.05295868,1.02,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69
Rh_surface_plus_2_Cu,-0.16426482,1.02,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17
Rh_surface_plus_2_Ru,-0.05877348,1.02,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11
Rh_surface_plus_2_Rh,-0.08689765,1.02,0,0,0,0,0,0,0,0
Rh_surface_plus_2_Pd,-0.21409612,1.02,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28
Rh_surface_plus_2_Ag,-0.31105149,1.02,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99
