index,delta_e_dft,strain,r,r_s,r_p,r_d,X_p,d_electrons,s_electrons,molar_volume,,,,
Rh_surface_minus_2_Fe,0.27013901,0.98,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19,,,,
Rh_surface_minus_2_Co,0.27528887,0.98,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61,,,,
Rh_surface_minus_2_Ni,0.0836018,0.98,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69,,,,
Rh_surface_minus_2_Cu,-0.25144079,0.98,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17,,,,
Rh_surface_minus_2_Ru,0.27652775,0.98,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11,,,,
Rh_surface_minus_2_Rh,0.06478793,0.98,0,0,0,0,0,0,0,0,,,,
Rh_surface_minus_2_Pd,-0.1941975,0.98,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28,,,,
Rh_surface_minus_2_Ag,-0.4362956,0.98,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99,,,,
Rh_surface_minus_2_Ir,0.10977686,0.98,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24,,,,
Rh_surface_minus_2_Pt,-0.14461805,0.98,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81,,,,
Rh_surface_minus_2_Au,-0.42736035,0.98,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93,,,,
Rh_surface_minus_1_Fe,0.25298254,0.99,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19,,,,
Rh_surface_minus_1_Co,0.25822194,0.99,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61,,,,
Rh_surface_minus_1_Ni,0.05228058,0.99,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69,,,,
Rh_surface_minus_1_Cu,-0.31895574,0.99,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17,,,,
Rh_surface_minus_1_Ru,0.26557135,0.99,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11,,,,
Rh_surface_minus_1_Rh,0.0321444,0.99,0,0,0,0,0,0,0,0,,,,
Rh_surface_minus_1_Pd,-0.24786911,0.99,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28,,,,
Rh_surface_minus_1_Ag,-0.5165851,0.99,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99,,,,
Rh_surface_minus_1_Ir,0.08174074,0.99,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24,,,,
Rh_surface_minus_1_Pt,-0.18804225,0.99,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81,,,,
Rh_surface_minus_1_Au,-0.49488647,0.99,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93,,,,
Rh_surface_zero_Fe,0.24148974,1,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19,,,,
Rh_surface_zero_Co,0.23849532,1,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61,,,,
Rh_surface_zero_Ni,0.02137626,1,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69,,,,
Rh_surface_zero_Cu,-0.38344149,1,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17,,,,
Rh_surface_zero_Ru,0.25658709,1,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11,,,,
Rh_surface_zero_Rh,0,1,0,0,0,0,0,0,0,0,,,,
Rh_surface_zero_Pd,-0.30161433,1,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28,,,,
Rh_surface_zero_Ag,-0.59752712,1,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99,,,,
Rh_surface_zero_Ir,0.05641741,1,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24,,,,
Rh_surface_zero_Pt,-0.22901658,1,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81,,,,
Rh_surface_zero_Au,-0.55274189,1,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93,,,,
Rh_surface_plus_1_Fe,0.23736627,1.01,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19,,,,
Rh_surface_plus_1_Co,0.21502565,1.01,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61,,,,
Rh_surface_plus_1_Ni,-0.01186115,1.01,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69,,,,
Rh_surface_plus_1_Cu,-0.44464968,1.01,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17,,,,
Rh_surface_plus_1_Ru,0.24697584,1.01,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11,,,,
Rh_surface_plus_1_Rh,-0.02539694,1.01,0,0,0,0,0,0,0,0,,,,
Rh_surface_plus_1_Pd,-0.34764451,1.01,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28,,,,
Rh_surface_plus_1_Ag,-0.67184941,1.01,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99,,,,
Rh_surface_plus_1_Ir,0.0374033,1.01,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24,,,,
Rh_surface_plus_1_Pt,-0.25553007,1.01,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81,,,,
Rh_surface_plus_1_Au,-0.61268933,1.01,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93,,,,
Rh_surface_plus_2_Fe,0.23791108,1.02,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19,,,,
Rh_surface_plus_2_Co,0.18727964,1.02,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61,,,,
Rh_surface_plus_2_Ni,6.28363903,1.02,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69,,,,
Rh_surface_plus_2_Cu,-0.50358774,1.02,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17,,,,
Rh_surface_plus_2_Ru,0.23449499,1.02,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11,,,,
Rh_surface_plus_2_Rh,-0.05370746,1.02,0,0,0,0,0,0,0,0,,,,
Rh_surface_plus_2_Pd,-0.39379385,1.02,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28,,,,
Rh_surface_plus_2_Ag,-0.74664927,1.02,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99,,,,
Rh_surface_plus_2_Ir,0.01866429,1.02,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24,,,,
Rh_surface_plus_2_Pt,-0.28214916,1.02,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81,,,,
Rh_surface_plus_2_Au,-0.66896929,1.02,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93,,,,
