index,delta_e_dft,strain,r,r_s,r_p,r_d,X_p,d_electrons,s_electrons,molar_volume
Rh_surface_minus_2_Fe,0.42348728,0.98,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19
Rh_surface_minus_2_Co,0.36386364,0.98,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61
Rh_surface_minus_2_Ni,0.22666636,0.98,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69
Rh_surface_minus_2_Cu,-0.05488095,0.98,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17
Rh_surface_minus_2_Ru,0.31732182,0.98,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11
Rh_surface_minus_2_Rh,0.09692265,0.98,0,0,0,0,0,0,0,0
Rh_surface_minus_2_Pd,-0.30145128,0.98,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28
Rh_surface_minus_2_Ag,-0.25450719,0.98,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99
Rh_surface_minus_2_Ir,0.11540161,0.98,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24
Rh_surface_minus_2_Pt,-0.30127245,0.98,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81
Rh_surface_minus_2_Au,-0.42900572,0.98,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93
Rh_surface_minus_1_Fe,0.38333884,0.99,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19
Rh_surface_minus_1_Co,0.31909413,0.99,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61
Rh_surface_minus_1_Ni,0.16100291,0.99,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69
Rh_surface_minus_1_Cu,-0.15761462,0.99,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17
Rh_surface_minus_1_Ru,0.28377646,0.99,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11
Rh_surface_minus_1_Rh,0.04739893,0.99,0,0,0,0,0,0,0,0
Rh_surface_minus_1_Pd,-0.36169889,0.99,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28
Rh_surface_minus_1_Ag,-0.37192408,0.99,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99
Rh_surface_minus_1_Ir,0.07575056,0.99,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24
Rh_surface_minus_1_Pt,-0.34652001,0.99,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81
Rh_surface_minus_1_Au,-0.52174464,0.99,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93
Rh_surface_zero_Fe,0.35478437,1,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19
Rh_surface_zero_Co,0.27519545,1,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61
Rh_surface_zero_Ni,0.12141334,1,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69
Rh_surface_zero_Cu,-0.25319824,1,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17
Rh_surface_zero_Ru,0.25248613,1,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11
Rh_surface_zero_Rh,0,1,0,0,0,0,0,0,0,0
Rh_surface_zero_Pd,-0.41435176,1,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28
Rh_surface_zero_Ag,-0.48724262,1,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99
Rh_surface_zero_Ir,0.04223465,1,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24
Rh_surface_zero_Pt,-0.37992025,1,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81
Rh_surface_zero_Au,-0.61041686,1,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93
Rh_surface_plus_1_Fe,0.34108105,1.01,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19
Rh_surface_plus_1_Co,0.23329171,1.01,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61
Rh_surface_plus_1_Ni,0.0523672,1.01,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69
Rh_surface_plus_1_Cu,-0.33905662,1.01,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17
Rh_surface_plus_1_Ru,0.22205529,1.01,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11
Rh_surface_plus_1_Rh,-0.03728262,1.01,0,0,0,0,0,0,0,0
Rh_surface_plus_1_Pd,-0.4621916,1.01,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28
Rh_surface_plus_1_Ag,-0.5915938,1.01,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99
Rh_surface_plus_1_Ir,0.01086324,1.01,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24
Rh_surface_plus_1_Pt,-0.40458956,1.01,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81
Rh_surface_plus_1_Au,-0.69117769,1.01,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93
Rh_surface_plus_2_Fe,0.34071051,1.02,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19
Rh_surface_plus_2_Co,0.19202188,1.02,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61
Rh_surface_plus_2_Ni,0.00948852,1.02,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69
Rh_surface_plus_2_Cu,-0.41708174,1.02,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17
Rh_surface_plus_2_Ru,0.19267773,1.02,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11
Rh_surface_plus_2_Rh,-0.07169014,1.02,0,0,0,0,0,0,0,0
Rh_surface_plus_2_Pd,-0.50624909,1.02,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28
Rh_surface_plus_2_Ag,-0.6915885,1.02,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99
Rh_surface_plus_2_Ir,-0.01606611,1.02,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24
Rh_surface_plus_2_Pt,-0.41774628,1.02,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81
Rh_surface_plus_2_Au,-0.76155468,1.02,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93
